areaType,areaName,areaCode,date,newWeeklyNsoDeathsByRegDate,cumWeeklyNsoDeathsByRegDate
nation,England,E92000001,2020-05-29,1715,43248
nation,England,E92000001,2020-05-22,2455,41533
nation,England,E92000001,2020-05-15,3624,39078
nation,England,E92000001,2020-05-08,3716,35454
nation,England,E92000001,2020-05-01,5748,31738
nation,England,E92000001,2020-04-24,7806,25990
nation,England,E92000001,2020-04-17,8335,18184
nation,England,E92000001,2020-04-10,5899,9849
nation,England,E92000001,2020-04-03,3330,3950
nation,England,E92000001,2020-03-27,515,620
nation,England,E92000001,2020-03-20,100,105
nation,England,E92000001,2020-03-13,5,5
