Electoral wards and divisions Code,Electoral wards and divisions,Household deprived in the education dimension (3 categories) Code,Attribute,Value
E05014103,Gipsy Hill,Deprived,Housing,694
E05014104,Herne Hill & Loughborough Junction,Does not apply,Education,0
E05014104,Herne Hill & Loughborough Junction,Does not apply,Employment,0
E05014104,Herne Hill & Loughborough Junction,Does not apply,Health,0
E05014104,Herne Hill & Loughborough Junction,Does not apply,Housing,0
E05014104,Herne Hill & Loughborough Junction,Not Deprived,Education,5800
E05014104,Herne Hill & Loughborough Junction,Not Deprived,Employment,5653
E05014104,Herne Hill & Loughborough Junction,Not Deprived,Health,4766
E05014104,Herne Hill & Loughborough Junction,Not Deprived,Housing,5345
E05014104,Herne Hill & Loughborough Junction,Deprived,Education,766
E05014104,Herne Hill & Loughborough Junction,Deprived,Employment,912
E05014104,Herne Hill & Loughborough Junction,Deprived,Health,1799
E05014104,Herne Hill & Loughborough Junction,Deprived,Housing,1222
E05014105,Kennington,Does not apply,Education,0
E05014105,Kennington,Does not apply,Employment,2
E05014105,Kennington,Does not apply,Health,0
E05014105,Kennington,Does not apply,Housing,0
E05014105,Kennington,Not Deprived,Education,5436
E05014105,Kennington,Not Deprived,Employment,5489
E05014105,Kennington,Not Deprived,Health,4675
E05014105,Kennington,Not Deprived,Housing,5238
E05014105,Kennington,Deprived,Education,1063
E05014105,Kennington,Deprived,Employment,1008
E05014105,Kennington,Deprived,Health,1824
E05014105,Kennington,Deprived,Housing,1261
E05014106,Knight's Hill,Does not apply,Education,0
E05014106,Knight's Hill,Does not apply,Employment,1
E05014106,Knight's Hill,Does not apply,Health,0
E05014106,Knight's Hill,Does not apply,Housing,0
E05014106,Knight's Hill,Not Deprived,Education,5746
E05014106,Knight's Hill,Not Deprived,Employment,5759
E05014106,Knight's Hill,Not Deprived,Health,4937
E05014106,Knight's Hill,Not Deprived,Housing,5682
E05014106,Knight's Hill,Deprived,Education,1167
E05014106,Knight's Hill,Deprived,Employment,1153
E05014106,Knight's Hill,Deprived,Health,1976
E05014106,Knight's Hill,Deprived,Housing,1231
E05014107,Myatt's Fields,Does not apply,Education,0
E05014107,Myatt's Fields,Does not apply,Employment,0
E05014107,Myatt's Fields,Does not apply,Health,0
E05014107,Myatt's Fields,Does not apply,Housing,0
E05014107,Myatt's Fields,Not Deprived,Education,3792
