GLA area 2021,,,,,,,,,,,,,,
_Collision Id,Borough Name,Borough Number,Easting,Northing,_Casualty Id,_Casualty Class,Casualty Gender,Casualty Age (5 Year Bands),Casualty Age,_Casualty Count,_Casualty Severity,Pedestrian Location,Pedestrian Movement,Casualty Mode of Travel
1210287312,Tower Hamlets,5,538340,180603,1,Driver/Rider,Male,35-39,38,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287313,Barking & Dagenham,16,545729,185393,1,Pedestrian,Male,35-39,39,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian
1210287314,Tower Hamlets,5,534728,181633,1,Driver/Rider,Male,20-24,23,1,Slight,Not Applicable,Not Applicable,Car
1210287316,Lambeth,9,532275,172844,1,Driver/Rider,Male,25-29,28,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287317,Lewisham,7,535605,177072,1,Driver/Rider,Male,35-39,35,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287319,Westminster,1,526105,183565,1,Driver/Rider,Male,55-59,58,1,Slight,Not Applicable,Not Applicable,Car
1210287322,Barnet,30,526408,193584,1,Driver/Rider,Male,30-34,33,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287326,Croydon,20,536133,165849,1,Pedestrian,Female,65-69,66,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian
1210287327,Bromley,19,539868,169862,1,Driver/Rider,Male,25-29,27,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287328,Redbridge,14,542828,191804,1,Driver/Rider,Male,45-49,48,1,Slight,Not Applicable,Not Applicable,Car
1210287329,Barnet,30,520083,190527,1,Pedestrian,Male,30-34,31,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian
1210287330,Newham,17,539472,181443,1,Driver/Rider,Female,35-39,36,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287333,Westminster,1,529926,180478,1,Driver/Rider,Female,40-44,44,1,Slight,Not Applicable,Not Applicable,Car
1210287334,Greenwich,6,542235,175416,1,Driver/Rider,Female,50-54,51,1,Serious,Not Applicable,Not Applicable,Car
1210287336,Tower Hamlets,5,537765,183006,1,Driver/Rider,Male,40-44,40,1,Slight,Not Applicable,Not Applicable,Car
1210287337,Havering,15,550587,189863,1,Driver/Rider,Male,65-69,66,1,Serious,Not Applicable,Not Applicable,Pedal Cycle
1210287341,Havering,15,550736,190825,1,Driver/Rider,Male,20-24,20,1,Fatal,Not Applicable,Not Applicable,Car
1210287341,Havering,15,550736,190825,2,Passenger,Male,25-29,25,1,Serious,Not Applicable,Not Applicable,Car
