Year,ktCO2e
2005,178.3
2006,180.4
2007,169.2
2008,171.5
2009,163.2
2010,176.4
2011,163.1
2012,175.0
2013,178.6
2014,150.2
2015,146.6
2016,122.2
2017,124.7
2018,162.7
2019,157.3
2020,150.2
2021,164.0
