Year,ktCO2e
2005,335.9
2006,356.9
2007,344.0
2008,350.8
2009,333.4
2010,341.3
2011,318.3
2012,339.6
2013,327.8
2014,275.9
2015,247.6
2016,224.1
2017,170.8
2018,104.2
2019,101.4
2020,77.0
2021,98.4
