Year,ktCO2e
2005,317.9
2006,308.0
2007,302.3
2008,281.5
2009,268.9
2010,260.3
2011,253.9
2012,241.2
2013,235.5
2014,233.1
2015,233.4
2016,238.2
2017,238.7
2018,231.6
2019,219.7
2020,183.7
2021,192.4
