Year,ktCO2e
2005,620.3
2006,611.4
2007,590.5
2008,596.2
2009,541.2
2010,580.2
2011,510.9
2012,549.2
2013,535.8
2014,449.8
2015,431.0
2016,414.2
2017,384.8
2018,377.1
2019,362.7
2020,356.7
2021,368.4
