Year,ktCO2e
2005,38.9
2006,39.1
2007,37.9
2008,37.0
2009,34.6
2010,36.8
2011,33.5
2012,35.2
2013,34.2
2014,31.4
2015,29.7
2016,29.3
2017,32.2
2018,54.5
2019,72.9
2020,79.8
2021,87.4
