time_identifier,time_period,geographic_level,country_code,country_name,characteristic,characteristic_type,ethnicity,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
Academic year,201718,National,E92000001,England,SEN,SEN statement,White,Total,6541,335,5,360,6,129983,19.9
Academic year,201718,National,E92000001,England,SEN,SEN statement,White,Girls,1740,119,7,122,7,35091,20.2
Academic year,201718,National,E92000001,England,SEN,SEN statement,White,Boys,4801,216,4,238,5,94892,19.8
Academic year,201718,National,E92000001,England,SEN,SEN statement,Mixed,Total,650,24,4,24,4,12573,19.3
Academic year,201718,National,E92000001,England,SEN,SEN statement,Mixed,Girls,149,10,7,10,7,2911,19.5
Academic year,201718,National,E92000001,England,SEN,SEN statement,Mixed,Boys,501,14,3,14,3,9662,19.3
Academic year,201718,National,E92000001,England,SEN,SEN statement,Asian,Total,1376,41,3,47,3,25773,18.7
Academic year,201718,National,E92000001,England,SEN,SEN statement,Asian,Girls,445,23,5,23,5,8529,19.2
Academic year,201718,National,E92000001,England,SEN,SEN statement,Asian,Boys,931,18,2,24,3,17244,18.5
Academic year,201718,National,E92000001,England,SEN,SEN statement,Black,Total,716,16,2,18,3,13415,18.7
Academic year,201718,National,E92000001,England,SEN,SEN statement,Black,Girls,206,5,2,5,2,3866,18.8
Academic year,201718,National,E92000001,England,SEN,SEN statement,Black,Boys,510,11,2,13,3,9549,18.7
Academic year,201718,National,E92000001,England,SEN,SEN statement,Chinese,Total,55,2,4,2,4,1060,19.3
Academic year,201718,National,E92000001,England,SEN,SEN statement,Chinese,Girls,12,0,0,0,0,213,17.8
Academic year,201718,National,E92000001,England,SEN,SEN statement,Chinese,Boys,43,2,5,2,5,847,19.7
Academic year,201718,National,E92000001,England,SEN,SEN statement,Other,Total,219,6,3,7,3,4142,18.9
Academic year,201718,National,E92000001,England,SEN,SEN statement,Other,Girls,72,1,1,2,3,1325,18.4
Academic year,201718,National,E92000001,England,SEN,SEN statement,Other,Boys,147,5,3,5,3,2817,19.2
