time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,characteristic,characteristic_type,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Boys,FSM eligibility,All_other,1909,1267,66,1308,69,63649,33.3
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Total,FSM eligibility,Total,4387,3126,71,3159,72,153635,35
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Total,FSM eligibility,FSM,524,303,58,307,59,17041,32.5
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Total,FSM eligibility,All_other,3863,2823,73,2852,74,136594,35.4
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Girls,FSM eligibility,Total,2155,1680,78,1699,79,78602,36.5
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Girls,FSM eligibility,FSM,251,163,65,164,65,8382,33.4
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Girls,FSM eligibility,All_other,1904,1517,80,1535,81,70220,36.9
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Boys,FSM eligibility,Total,2232,1446,65,1460,65,75033,33.6
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Boys,FSM eligibility,FSM,273,140,51,143,52,8659,31.7
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Boys,FSM eligibility,All_other,1959,1306,67,1317,67,66374,33.9
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Total,FSM eligibility,Total,4438,3021,68,3075,69,152393,34.3
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Total,FSM eligibility,FSM,746,451,60,460,62,24398,32.7
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Total,FSM eligibility,All_other,3692,2570,70,2615,71,127995,34.7
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Girls,FSM eligibility,Total,2151,1627,76,1642,76,76794,35.7
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Girls,FSM eligibility,FSM,362,256,71,257,71,12439,34.4
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Girls,FSM eligibility,All_other,1789,1371,77,1385,77,64355,36
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Boys,FSM eligibility,Total,2287,1394,61,1433,63,75599,33.1
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Boys,FSM eligibility,FSM,384,195,51,203,53,11959,31.1
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Boys,FSM eligibility,All_other,1903,1199,63,1230,65,63640,33.4
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,FSM eligibility,Total,3725,2878,77,2893,78,132449,35.6
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,FSM eligibility,FSM,613,406,66,408,67,20381,33.2
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,FSM eligibility,All_other,3112,2472,79,2485,80,112068,36
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Girls,FSM eligibility,Total,1836,1534,84,1537,84,67745,36.9
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Girls,FSM eligibility,FSM,292,216,74,216,74,10075,34.5
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Girls,FSM eligibility,All_other,1544,1318,85,1321,86,57670,37.4
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Boys,FSM eligibility,Total,1889,1344,71,1356,72,64704,34.3
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Boys,FSM eligibility,FSM,321,190,59,192,60,10306,32.1
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Boys,FSM eligibility,All_other,1568,1154,74,1164,74,54398,34.7
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Total,FSM eligibility,Total,3249,2355,72,2410,74,110962,34.2
201718,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Total,FSM eligibility,FSM,188,113,60,116,62,6023,32
