time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,fsm,area_of_learning,number_of_pupils,at_least_expected_number,at_least_expected_percent
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,Total,Communication and Language,2384,1969,83
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,FSM,Communication and Language,402,285,71
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,All other pupils,Communication and Language,1982,1684,85
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,Total,Communication and Language,3098,2626,85
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,FSM,Communication and Language,417,303,73
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,All other pupils,Communication and Language,2681,2323,87
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,Total,Communication and Language,1592,1272,80
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,FSM,Communication and Language,349,225,64
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,All other pupils,Communication and Language,1243,1047,84
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,Total,Communication and Language,1656,1381,83
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,FSM,Communication and Language,415,313,75
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,All other pupils,Communication and Language,1241,1068,86
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,Total,Communication and Language,2436,2055,84
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,FSM,Communication and Language,386,282,73
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,All other pupils,Communication and Language,2050,1773,86
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,Total,Communication and Language,2910,2411,83
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,FSM,Communication and Language,511,382,75
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,All other pupils,Communication and Language,2399,2029,85
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,Total,Communication and Language,2050,1564,76
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,FSM,Communication and Language,346,240,69
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,All other pupils,Communication and Language,1704,1324,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,Total,Communication and Language,1753,1373,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,FSM,Communication and Language,390,278,71
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,All other pupils,Communication and Language,1363,1095,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,Total,Communication and Language,3967,3018,76
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,FSM,Communication and Language,647,418,65
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,All other pupils,Communication and Language,3320,2600,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,Total,Communication and Language,2336,1990,85
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,FSM,Communication and Language,261,193,74
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,All other pupils,Communication and Language,2075,1797,87
