time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,all_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000088,Gosport,982,717,73,734,75,34275,34.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000089,Hart,1115,892,80,906,81,40633,36.4
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000090,Havant,1321,892,68,908,69,45139,34.2
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000091,New Forest,1673,1276,76,1288,77,58467,34.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000092,Rushmoor,1213,855,70,863,71,41687,34.4
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000093,Test Valley,1506,1178,78,1187,79,54894,36.5
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000094,Winchester,1303,1046,80,1056,81,47616,36.5
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000105,Ashford,1595,1188,74,1203,75,57291,35.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000106,Canterbury,1449,1091,75,1095,76,51706,35.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000107,Dartford,1502,1122,75,1133,75,52509,35
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000108,Dover,1248,924,74,926,74,43604,34.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000109,Gravesham,1395,1027,74,1032,74,48561,34.8
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000110,Maidstone,2025,1500,74,1537,76,72056,35.6
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000111,Sevenoaks,1335,1045,78,1058,79,49028,36.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000112,Shepway,1163,874,75,879,76,41535,35.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000113,Swale,1836,1322,72,1327,72,63498,34.6
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000114,Thanet,1621,1120,69,1129,70,55003,33.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000115,Tonbridge and Malling,1636,1268,78,1286,79,60204,36.8
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000116,Tunbridge Wells,1229,953,78,958,78,45119,36.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000177,Cherwell,1754,1274,73,1289,73,60665,34.6
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000178,Oxford,1508,1040,69,1066,71,51175,33.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000179,South Oxfordshire,1574,1174,75,1180,75,55524,35.3
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000180,Vale of White Horse,1530,1070,70,1091,71,52986,34.6
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000181,West Oxfordshire,1266,973,77,981,77,45317,35.8
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000207,Elmbridge,1668,1331,80,1332,80,63470,38.1
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000208,Epsom and Ewell,984,773,79,782,79,36820,37.4
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000209,Guildford,1424,1100,77,1106,78,53131,37.3
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000210,Mole Valley,851,689,81,693,81,32357,38
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000211,Reigate and Banstead,1830,1437,79,1441,79,68414,37.4
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000212,Runnymede,819,633,77,636,78,29771,36.4
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000213,Spelthorne,1240,931,75,943,76,44530,35.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000214,Surrey Heath,955,749,78,755,79,35253,36.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000215,Tandridge,926,735,79,746,81,33885,36.6
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000216,Waverley,1403,1088,78,1093,78,51878,37
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000217,Woking,1257,927,74,935,74,45273,36
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000223,Adur,755,529,70,538,71,25441,33.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000224,Arun,1618,1081,67,1125,70,53542,33.1
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000225,Chichester,1125,803,71,814,72,38846,34.5
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000226,Crawley,1519,1007,66,1021,67,49624,32.7
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000227,Horsham,1465,1062,72,1084,74,51087,34.9
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000228,Mid Sussex,1732,1241,72,1272,73,59413,34.3
201718,Academic year,Local authority district,E92000001,England,E12000008,South East,E07000229,Worthing,1217,878,72,890,73,40754,33.5
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset UA,1896,1341,71,1370,72,64914,34.2
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000023,Bristol UA,5586,3810,68,3878,69,188361,33.7
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000024,North Somerset UA,2468,1849,75,1869,76,87804,35.6
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000025,South Gloucestershire UA,3334,2527,76,2561,77,119498,35.8
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000026,Plymouth UA,3065,2062,67,2090,68,100640,32.8
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000027,Torbay UA,1448,1014,70,1022,71,48363,33.4
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000028,Bournemouth UA,2073,1556,75,1561,75,74864,36.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000029,Poole UA,1522,1141,75,1150,76,54585,35.9
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000030,Swindon UA,2977,2063,69,2106,71,104491,35.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000052,Cornwall UA,5958,3998,67,4085,69,205403,34.5
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000053,Isles of Scilly UA,24,22,92,22,92,917,38.2
